reales,Linear,Knn,Ridge,Lasso
0.9699,0.9699391862921282,0.9699,0.96993916814289,0.9699297499999999
0.9699,0.9699348483642376,0.9699,0.9699348308098099,0.9699297499999999
0.9699,0.9699391862921282,0.9699,0.96993916814289,0.9699297499999999
0.9699,0.9699500311118546,0.9699,0.9699500114755907,0.9699297499999999
0.9699,0.9699456931839641,0.9699,0.9699456741425104,0.9699297499999999
0.9699,0.9699435242200188,0.9699,0.9699435054759703,0.9699297499999999
0.9699,0.9699478621479094,0.97,0.9699478428090506,0.9699297499999999
0.9699,0.9699500311118546,0.9699,0.9699500114755907,0.9699297499999999
0.9699,0.9699456931839641,0.9699,0.9699456741425104,0.9699297499999999
0.9699,0.9699435242200188,0.9699,0.9699435054759703,0.9699297499999999
0.9699,0.9699478621479094,0.97,0.9699478428090506,0.9699297499999999
0.9699,0.9699435242200188,0.9699,0.9699435054759703,0.9699297499999999
0.9699,0.9699478621479094,0.97,0.9699478428090506,0.9699297499999999
0.9699,0.9699187132005884,0.9699,0.9699186959665348,0.9699297499999999
0.9699,0.9699157983058564,0.9699,0.9699157812822832,0.9699297499999999
0.9699,0.9699179672698016,0.9699,0.9699179499488233,0.9699297499999999
0.9699,0.9699396569092545,0.9699,0.9699396366142246,0.9699297499999999
0.9699,0.9699338271197903,0.9699,0.9699338072457213,0.9699297499999999
0.9699,0.9699309122250582,0.9699,0.9699308925614697,0.9699297499999999
0.9699,0.969925082435594,0.9699,0.9699250631929666,0.9699297499999999
0.9699,0.9699192526461299,0.9699,0.9699192338244634,0.9699297499999999
0.9699,0.9699235905740204,0.9699,0.9699235711575437,0.9699297499999999
0.9699,0.9699206756792883,0.9699,0.9699206564732921,0.9699297499999999
0.97,0.9700110374159832,0.97,0.9700110116850912,0.9699297499999999
0.97,0.970054989879916,0.97,0.9700549702007409,0.9699297499999999
0.97,0.9700571588438613,0.97,0.9700571388672811,0.9699297499999999
0.97,0.9700593278078066,0.97,0.9700593075338212,0.9699297499999999
0.97,0.9700636657356971,0.97,0.9700636448669014,0.9699297499999999
0.97,0.9700461763673046,0.97,0.9700461567613919,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700505142951952,0.97,0.9700504940944722,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700461763673046,0.97,0.9700461567613919,0.9699297499999999
0.97,0.970041838439414,0.97,0.9700418194283117,0.9699297499999999
0.97,0.9700375005115235,0.97,0.9700374820952314,0.9699297499999999
0.97,0.9700065618312623,0.97,0.9700065355788224,0.9699297499999999
0.97,0.9700375005115235,0.97,0.9700374820952314,0.9699297499999999
0.97,0.970041838439414,0.97,0.9700418194283117,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.970041838439414,0.97,0.9700418194283117,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.970041838439414,0.97,0.9700418194283117,0.9699297499999999
0.97,0.9700375005115235,0.97,0.9700374820952314,0.9699297499999999
0.97,0.9700065618312623,0.97,0.9700065355788224,0.9699297499999999
0.97,0.970024051199655,0.97,0.9700240236843319,0.9699297499999999
0.97,0.970054989879916,0.97,0.9700549702007409,0.9699297499999999
0.97,0.9700375005115235,0.97,0.9700374820952314,0.9699297499999999
0.97,0.9700396694754687,0.97,0.9700396507617716,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.9700396694754687,0.97,0.9700396507617716,0.9699297499999999
0.97,0.9700375005115235,0.97,0.9700374820952314,0.9699297499999999
0.97,0.9700396694754687,0.97,0.9700396507617716,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700678660067574,0.97,0.9700678434267932,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700678660067574,0.97,0.9700678434267932,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.970041838439414,0.97,0.9700418194283117,0.9699297499999999
0.97,0.9700375005115235,0.97,0.9700374820952314,0.9699297499999999
0.97,0.9700396694754687,0.97,0.9700396507617716,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700678660067574,0.97,0.9700678434267932,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700678660067574,0.97,0.9700678434267932,0.9699297499999999
0.97,0.9700387170594366,0.97,0.9700386965842773,0.9699297499999999
0.97,0.9700678660067574,0.97,0.9700678434267932,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.9700396694754687,0.97,0.9700396507617716,0.9699297499999999
0.97,0.9700375005115235,0.97,0.9700374820952314,0.9699297499999999
0.97,0.9700396694754687,0.97,0.9700396507617716,0.9699297499999999
0.97,0.970041838439414,0.97,0.9700418194283117,0.9699297499999999
0.97,0.9700461763673046,0.97,0.9700461567613919,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700591901509763,0.97,0.9700591687606327,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700505142951952,0.97,0.9700504940944722,0.9699297499999999
0.97,0.9700591901509763,0.97,0.9700591687606327,0.9699297499999999
0.97,0.9700635280788669,0.97,0.970063506093713,0.9699297499999999
0.97,0.9700700349707028,0.97,0.9700700120933333,0.9699297499999999
0.97,0.970072203934648,0.97,0.9700721807598734,0.9699297499999999
0.97,0.9700430549873271,0.97,0.9700430339173576,0.9699297499999999
0.97,0.9700408860233818,0.97,0.9700408652508175,0.9699297499999999
0.97,0.9700365480954912,0.97,0.9700365279177372,0.9699297499999999
0.97,0.9700322101676007,0.97,0.970032190584657,0.9699297499999999
0.97,0.9700365480954912,0.97,0.9700365279177372,0.9699297499999999
0.97,0.9700322101676007,0.97,0.970032190584657,0.9699297499999999
0.97,0.9700365480954912,0.97,0.9700365279177372,0.9699297499999999
0.97,0.9700656970428122,0.97,0.9700656747602531,0.9699297499999999
0.97,0.9700613591149216,0.9701,0.9700613374271728,0.9699297499999999
0.97,0.9700591901509763,0.97,0.9700591687606327,0.9699297499999999
0.97,0.9700505142951952,0.97,0.9700504940944722,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700505142951952,0.97,0.9700504940944722,0.9699297499999999
0.97,0.9700591901509763,0.97,0.9700591687606327,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700483453312498,0.97,0.9700483254279321,0.9699297499999999
0.97,0.9700461763673046,0.97,0.9700461567613919,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.970041838439414,0.97,0.9700418194283117,0.9699297499999999
0.97,0.9700375005115235,0.97,0.9700374820952314,0.9699297499999999
0.97,0.9700396694754687,0.97,0.9700396507617716,0.9699297499999999
0.97,0.9700375005115235,0.97,0.9700374820952314,0.9699297499999999
0.97,0.9699848721918095,0.9699,0.9699848489134212,0.9699297499999999
0.97,0.970002361560202,0.97,0.9700023370189307,0.9699297499999999
0.9699,0.9699119998235072,0.9699,0.9699119818071316,0.9699297499999999
0.9699,0.9699178296129713,0.9699,0.9699178111756347,0.9699297499999999
0.9699,0.9699207445077035,0.9699,0.9699207258598863,0.9699297499999999
0.9699,0.9699236594024355,0.9699,0.9699236405441379,0.9699297499999999
0.9699,0.9699324040866318,0.9699,0.9699323845968927,0.9699297499999999
0.9699,0.9699294891918997,0.9699,0.9699294699126411,0.9699297499999999
0.9699,0.9699265742971677,0.9699,0.9699265552283896,0.9699297499999999
0.9699,0.9699207445077035,0.9699,0.9699207258598863,0.9699297499999999
0.9699,0.9699178296129713,0.9699,0.9699178111756347,0.9699297499999999
0.9699,0.9699119998235072,0.9699,0.9699119818071316,0.9699297499999999
0.97,0.970002361560202,0.97,0.9700023370189307,0.9699297499999999
0.97,0.970054989879916,0.97,0.9700549702007409,0.9699297499999999
0.97,0.9700593278078066,0.97,0.9700593075338212,0.9699297499999999
0.97,0.9700614967717519,0.97,0.9700614762003613,0.9699297499999999
0.97,0.9700636657356971,0.97,0.9700636448669014,0.9699297499999999
0.97,0.9700461763673046,0.97,0.9700461567613919,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700570211870311,0.9701,0.9700570000940926,0.9699297499999999
0.97,0.9700548522230857,0.97,0.9700548314275524,0.9699297499999999
0.97,0.9700526832591404,0.97,0.9700526627610123,0.9699297499999999
0.97,0.9700461763673046,0.97,0.9700461567613919,0.9699297499999999
0.97,0.9700440074033593,0.97,0.9700439880948518,0.9699297499999999
0.97,0.9700396694754687,0.97,0.9700396507617716,0.9699297499999999
0.97,0.9699848721918095,0.9699,0.9699848489134212,0.9699297499999999
0.97,0.9700065618312623,0.97,0.9700065355788224,0.9699297499999999
0.9699,0.96993368946296,0.9699,0.9699336684725328,0.9699297499999999
0.9699,0.9699395192524243,0.9699,0.969939497841036,0.9699297499999999
0.9699,0.9699424341471563,0.9699,0.9699424125252876,0.9699297499999999
0.9699,0.9699453490418884,0.9699,0.9699453272095392,0.9699297499999999
0.9699,0.9699540937260847,0.9699,0.9699540712622939,0.9699297499999999
0.9699,0.9699570086208168,0.9699,0.9699569859465454,0.9699297499999999
0.9699,0.969962838410281,0.9699,0.9699628153150487,0.9699297499999999
0.9699,0.9699411487708282,0.9699,0.9699411286496474,0.9699297499999999
0.9699,0.969970297718149,0.97,0.9699702754921633,0.9699297499999999
0.9699,0.9699681287542038,0.97,0.9699681068256232,0.9699297499999999
0.9699,0.9699389798068828,0.9699,0.9699389599831073,0.9699297499999999
0.9699,0.9699411487708282,0.9699,0.9699411286496474,0.9699297499999999
0.9699,0.969962838410281,0.9699,0.9699628153150487,0.9699297499999999
0.9699,0.9699570086208168,0.9699,0.9699569859465454,0.9699297499999999
0.9699,0.9699540937260847,0.9699,0.9699540712622939,0.9699297499999999
0.9699,0.9699324040866318,0.9699,0.9699323845968927,0.9699297499999999
0.9699,0.9699265742971677,0.9699,0.9699265552283896,0.9699297499999999
0.9699,0.9699482639366205,0.9699,0.9699482418937907,0.9699297499999999
